Product Title,Product Image,Pack Size,Price,Price Per Unit
Gluten Free Spirals 500g,https://www.aldi.com.au/fileadmin/_processed_/6/0/csm_ALN3077_GLUTEN-FREE_1x1_228x128__7ce49aa2e0.jpg,500g,$2.29,46c per 100g
Gluten Free Corn Flakes 375g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN1075_1x1_GF_228x128__9e8add9131.jpg,375g,$2.99,80c per 100g
Gluten Free Cocoa Puffs 475g,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN1075_1x1_GF_228x128_2_150eb74508.jpg,475g,$2.99,63c per 100g
Gluten Free Plain Flour 500g,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_5_f6210b29c2.jpg,500g,$2.29,$4.58 per kg
Gluten Free Self Raising Flour 500g,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_6_a60df0943b.jpg,500g,$2.29,$4.58 per kg
Gluten Free Spaghetti 500g,https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_3_2c8abe4d74.jpg,500g,$2.29,46c per 100g
Has No Gluten Free Biscuits 180g,https://www.aldi.com.au/fileadmin/_processed_/7/0/csm_ALN2805-1_SS_1x1_228x128_SEPTEMBER_10_38e0ccad49.jpg,180g,$2.79,$1.55 per 100g
Has No Gluten Free Coconut Macaroons 160g,https://www.aldi.com.au/fileadmin/_processed_/1/f/csm_ALN2805-1_SS_1x1_228x128_SEPTEMBER_11_33e261d175.jpg,160g,$2.49,$1.56 per 100g
Trimat Advanced Laundry Liquid 2L – Regular,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3077_LAUNDRY_1x1_228x128_4_c7db956e29.jpg,Regular,$7.99,$4 per litre
Expressi Organic,https://www.aldi.com.au/fileadmin/_processed_/9/9/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_2_5c3430b56b.jpg,Organic,$5.99,37c per capsule
Choceur Caramel Filled Milk Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_3_e67dcf7a07.jpg,200g,$2.99,$1.50 per 100g
Blackstone Paddock Barossa Valley Shiraz 750ml,https://www.aldi.com.au/fileadmin/_processed_/8/2/csm_ALN2364_AWARDS_WINE_1x1_228x128_25_b36c1fff42.jpg,750ml,$17.99,see price in store*
Just Organic Pasta Sauces 500g,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_1_a02c6a78fe.jpg,500g,$2.49,50c per 100g
Trimat Advanced Laundry Liquid 2L – Sensitive,https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_ALN3077_LAUNDRY_1x1_228x128_5_f88ed1f1dd.jpg,Sensitive,$7.99,$4 per litre
Almat Laundry Powder Concentrate 2kg,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_9_e4de55715b.jpg,2kg,$4.99,$2.50 per kg
Almat Laundry Liquid Concentrate 2L,https://www.aldi.com.au/fileadmin/_processed_/a/8/csm_ALN3077_LAUNDRY_1x1_228x128_3_b60ed568a8.jpg,2L,$4.99,$2.50 per litre
Di San Pre Wash Stain Remover 500ml – Degreaser,https://www.aldi.com.au/fileadmin/_processed_/e/f/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_3_ff4a4ad151.jpg,Degreaser,$3.69,$3.69 per Litre
